parameter_id,name,symbol,unit,mode,value,min,max,distribution,sampled_yes_no,derived_yes_no,source_type,validation_status,gate_dependencies,risk_dependencies,category,notes
P0040,n_s_target,n_s_target,m-2,D,3.3e+18,,,lognormal,YES,NO,Design,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-50%
P0041,P_CH4_work,P_CH4_work,Pa,A,0.0001,,,lognormal,YES,NO,Typical LCVD working pressure,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 10x
P0042,P_CH4_purge_tgt,P_CH4_purge_tgt,Pa,B,5e-12,,,lognormal,YES,NO,Required before He-3 dosing,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=criterion
P0043,bakeout_done,bakeout_done,,B,0,,,lognormal,YES,NO,Not yet executed,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=bool
P0044,cryotrap_4K,cryotrap_4K,,B,0,,,lognormal,YES,NO,Not yet installed,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=bool
P0045,NEG_pump,NEG_pump,,B,0,,,lognormal,YES,NO,Not yet installed,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=bool
P0046,S_vib,S_vib,m2/Hz,CD,1e-10,,,lognormal,YES,NO,Oxford Triton spec; NOT measured here,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 10x
P0047,t_growth,t_growth,s,A,30.0,,,lognormal,YES,NO,Design growth pulse,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-factor3
P0048,t_purge_min,t_purge_min,s,B,7200.0,,,lognormal,YES,NO,Min pumpout; outgassing dominated,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+0/-50%
P0049,t_vib_settle,t_vib_settle,s,C,100.0,,,lognormal,YES,NO,Vib settling after shutter,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-factor3
P0050,T2s,T2s,s,,1e-05,,,,NO,NO,INDIRECT,ASSUMED,,,FIXED_DESIGN,
P0051,n_s,n_s,m-2,,3.3e+18,,,,NO,NO,INDIRECT,ASSUMED,,,FIXED_DESIGN,Sticking coefficient on F-diamond UNKNOWN. Graphite analogy is INDIRECT.
P0052,P_cond,P_cond,W,,2.46e-09,,,,NO,NO,INDIRECT,ASSUMED,,,FIXED_DESIGN,
P0053,alpha_K,alpha_K,W/m2/K4,,2000,,,,NO,NO,INDIRECT,INDIRECT,,,FIXED_DESIGN,NOT measured for this specific Ag/diamond interface. [status normalized from LITERATURE_BOUND: literature bounds the val
P0054,s_H2,s_H2,dimensionless,,0.3,,,,NO,NO,INDIRECT,ASSUMED,,,FIXED_DESIGN,
P0055,QCM_noise_floor,QCM_noise_floor,Hz,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNVERIFIED,,,MEASURED_REQUIRED,He-3 monolayer shift ≈0.09 Hz requires sub-0.1 Hz stability.
P0056,Ag_sinter_area,Ag_sinter_area,m2,,0.0045,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0057,Ag_sinter_fabrication_status,Ag_sinter_fabrication_status,N/A,,NOT_FABRICATED,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0058,T_sample_forecast,T_sample_forecast,K,,0.010413,,,lognormal,YES,NO,ASSUMED,ASSUMED,,,ASSUMED_UNCERTAIN,FORECAST_ONLY
P0059,P_delivered,P_delivered,W,,0.0002,,,,NO,NO,MANUFACTURER_SPEC,MANUFACTURER_SPEC,,,FIXED_DESIGN,Not verified under QTA thermal load
P0060,P_support_hybrid,P_support_hybrid,W,,1.67e-10,,,,NO,NO,INDIRECT,ASSUMED,,,FIXED_DESIGN,Committed support: Kevlar 49 / G-10CR (see rejected_baseline_BOM.csv for rejected alternatives).
P0061,P_vib,P_vib,W,,5e-14,,,lognormal,YES,NO,ASSUMED,ASSUMED,,,ASSUMED_UNCERTAIN,
P0062,P_rad,P_rad,W,,4e-15,,,,NO,YES,DERIVED,DERIVED,,,DERIVED,
P0063,P_He,P_He,W,,1.67e-10,,,,NO,NO,INDIRECT,ASSUMED,,,FIXED_DESIGN,
P0064,tau_pulse,tau_pulse,s,,1e-13,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0065,beam_radius,beam_radius,m,,3.61e-07,,,,NO,YES,DERIVED,DERIVED,,,DERIVED,
P0066,fluence,fluence,J/m2,,0.024,,,lognormal,YES,NO,Depends on eta_abs,ASSUMED,,,ASSUMED_UNCERTAIN,
P0067,peak_intensity,peak_intensity,W/m2,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0068,fluence_threshold,fluence_threshold,J/m2,,10000.0,,,,NO,NO,INDIRECT,INDIRECT,,,FIXED_DESIGN,[status normalized from LITERATURE_BOUND: literature bounds the value but not the exact system claim]
P0069,nonlinear_threshold,nonlinear_threshold,W/m2,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0070,thermal_recovery_time,thermal_recovery_time,s,,4.2e-08,,,lognormal,YES,NO,ASSUMED,ASSUMED,,,ASSUMED_UNCERTAIN,
P0071,T2,T2,s,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0072,NV_density,NV_density,m-3,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0073,surface_spin_density,surface_spin_density,m-2,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0074,surface_termination,surface_termination,N/A,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0075,charge_stability,charge_stability,N/A,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0076,CH4_coverage,CH4_coverage,%,,,,,lognormal,YES,NO,ASSUMED,CONDITIONAL,,,ASSUMED_UNCERTAIN,
P0077,helium_pressure,helium_pressure,Pa,,1e-06,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0078,helium_mean_free_path,helium_mean_free_path,m,,0.46,,,,NO,NO,DIRECT,DERIVED,,,FIXED_DESIGN,
P0079,Kn,Kn,dimensionless,,46,,,,NO,NO,DIRECT,DERIVED,,,FIXED_DESIGN,
P0080,molecular_flux,molecular_flux,m-2 s-1,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0081,PMB_flux,PMB_flux,m-2 s-1,,,,,,NO,NO,INDIRECT,DESIGN_SPECIFIED,,,FIXED_DESIGN,
P0082,PMB_dose,PMB_dose,m-2,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0083,PMB_pulse_width,PMB_pulse_width,s,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0084,cryo_baffle_temperature,cryo_baffle_temperature,K,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0085,cryo_baffle_shutter_timing,cryo_baffle_shutter_timing,s,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0086,cryo_baffle_thermal_load,cryo_baffle_thermal_load,W,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0087,bakeout_temperature,bakeout_temperature,°C,,250,,,,NO,NO,INDIRECT,DESIGN_SPECIFIED,,,FIXED_DESIGN,NOT EXECUTED
P0088,bakeout_duration,bakeout_duration,h,,48,,,,NO,NO,INDIRECT,DESIGN_SPECIFIED,,,FIXED_DESIGN,NOT EXECUTED
P0089,NEG_pump_speed,NEG_pump_speed,L/s,,,,,,NO,NO,MANUFACTURER_SPEC,DESIGN_SPECIFIED,,,FIXED_DESIGN,NOT INSTALLED
P0090,cryotrap_performance,cryotrap_performance,Pa,,,,,,NO,NO,INDIRECT,DESIGN_SPECIFIED,,,FIXED_DESIGN,NOT INSTALLED
P0091,RGA_sensitivity,RGA_sensitivity,Pa,,,,,uniform,YES,NO,UNKNOWN,NOT_INSTALLED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0092,vibration_PSD,vibration_PSD,m2/Hz,,1e-10,,,,NO,NO,MANUFACTURER_SPEC,MANUFACTURER_SPEC,,,FIXED_DESIGN,NOT measured at NV position
P0093,vibration_to_heat_conversion,vibration_to_heat_conversion,W/(m2/Hz),,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0094,microwave_dissipation,microwave_dissipation,W,,1e-09,,,lognormal,YES,NO,ASSUMED,ASSUMED,,,ASSUMED_UNCERTAIN,
P0095,CPW_loss,CPW_loss,dB,,,,,,NO,NO,INDIRECT,UNKNOWN,,,FIXED_DESIGN,
P0096,cryogenic_wiring_heat_load,cryogenic_wiring_heat_load,W,,2.46e-09,,,,NO,NO,INDIRECT,ASSUMED,,,FIXED_DESIGN,
P0097,interlock_timing,interlock_timing,s,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,NOT INSTALLED [directness normalized from N/A: directness not applicable to this entry]
P0098,Mode_A_to_B_recovery,Mode_A_to_B_recovery,s,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0099,Mode_B_to_C_recovery,Mode_B_to_C_recovery,s,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0100,Mode_C_to_D_recovery,Mode_C_to_D_recovery,s,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0101,isotope_purity_3He,isotope_purity_3He,%,,,,,,NO,NO,MANUFACTURER_SPEC,DESIGN_SPECIFIED,,,FIXED_DESIGN,
P0102,isotope_purity_4He,isotope_purity_4He,%,,,,,,NO,NO,MANUFACTURER_SPEC,DESIGN_SPECIFIED,,,FIXED_DESIGN,
P0103,gas_isolation_leak_rate,gas_isolation_leak_rate,Pa m3/s,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0104,Kevlar_49_thermal_conductivity,Kevlar_49_thermal_conductivity,W/m/K,,0.0005,,,,NO,NO,INDIRECT,INDIRECT,,,FIXED_DESIGN,[status normalized from LITERATURE_BOUND: literature bounds the value but not the exact system claim]
P0105,Kevlar_49_tension_properties,Kevlar_49_tension_properties,N/A,,,,,,NO,NO,INDIRECT,DESIGN_SPECIFIED,,,FIXED_DESIGN,
P0106,Kevlar_end_termination_strength,Kevlar_end_termination_strength,N,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNVERIFIED,,,MEASURED_REQUIRED,Critical safety item
P0107,Kevlar_clamp_slip,Kevlar_clamp_slip,m,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,Differential thermal contraction risk
P0108,Kevlar_creep_relaxation,Kevlar_creep_relaxation,m/h,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0109,G10CR_thermal_conductivity,G10CR_thermal_conductivity,W/m/K,,,,,,NO,NO,INDIRECT,DESIGN_SPECIFIED,,,FIXED_DESIGN,
P0110,G10CR_flexure_properties,G10CR_flexure_properties,N/A,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0111,G10CR_attachment_stability,G10CR_attachment_stability,N/A,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0112,thermal_intercept_conductance,thermal_intercept_conductance,W/K,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,[directness normalized from N/A: directness not applicable to this entry]
P0113,thermal_intercept_contact_resistance,thermal_intercept_contact_resistance,K/W,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,Gold-plated faces reduce risk
P0114,anchor_block_conductance,anchor_block_conductance,W/K,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0115,sample_stage_alignment_drift,sample_stage_alignment_drift,m,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0116,cooldown_survivability,cooldown_survivability,N/A,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNVERIFIED,,,MEASURED_REQUIRED,
P0117,support_resonant_modes,support_resonant_modes,Hz,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,
P0118,temperature_sensor_calibration,temperature_sensor_calibration,K,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,NOT INSTALLED [directness normalized from N/A: directness not applicable to this entry]
P0119,heater_step_response_power,heater_step_response_power,W,,,,,uniform,YES,NO,UNKNOWN,DESIGN_SPECIFIED,,,MEASURED_REQUIRED,NOT INSTALLED [directness normalized from N/A: directness not applicable to this entry]
P0120,E_pulse_A,E_pulse_A,J,,,,,uniform,YES,NO,UNKNOWN,UNKNOWN,,,MEASURED_REQUIRED,Mode B LCVD optics. Separate from Mode D E_pulse. [directness normalized from REQUIRES_SOURCE: no source yet identified]
P0121,f_rep_A,f_rep_A,Hz,,,,,uniform,YES,NO,UNKNOWN,UNKNOWN,,,MEASURED_REQUIRED,Mode B LCVD optics. Period = 1/f_rep_A. Manuscript previously confused 1 MHz with 1 ms; now separated. [directness norma
P0122,tau_pulse_A,tau_pulse_A,s,,,,,uniform,YES,NO,UNKNOWN,UNKNOWN,,,MEASURED_REQUIRED,Mode B LCVD optics. [directness normalized from REQUIRES_SOURCE: no source yet identified]
P0123,spot_radius_A,spot_radius_A,m,,,,,uniform,YES,NO,UNKNOWN,UNKNOWN,,,MEASURED_REQUIRED,Mode B LCVD optics. [directness normalized from REQUIRES_SOURCE: no source yet identified]
P0124,eta_abs_A,eta_abs_A,dimensionless,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,Mode B LCVD. Different surface/chemistry than Mode D readout absorption.
P0125,precursor_species,precursor_species,N/A,,,,,uniform,YES,NO,UNKNOWN,UNKNOWN,,,MEASURED_REQUIRED,Mode B LCVD. CH4 typical; alternatives possible. [status normalized from USER_DECISION_PENDING: pending user/architect d
P0126,deposition_yield_per_pulse_A,deposition_yield_per_pulse_A,atoms/pulse,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,Mode B LCVD. PRIMARY UNKNOWN.
P0127,local_surface_temperature_A,local_surface_temperature_A,K,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,Mode B LCVD. Photolysis/pyrolysis condition.
P0128,G_growth_to_dump,G_growth_to_dump,W/K,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,Mode B thermal dump (non-MC).
P0129,G_growth_to_MC_leak,G_growth_to_MC_leak,W/K,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNKNOWN,,,MEASURED_REQUIRED,Mode B thermal dump. Must be << P_cool_MC budget.
P0130,E_pulse_D,E_pulse_D,J,,5e-11,,,lognormal,YES,NO,ASSUMED,ASSUMED,,,ASSUMED_UNCERTAIN,Mode D NV readout pulse energy. Sim uses 50 pJ. Separate from Mode B E_pulse_A.
P0131,f_rep_D,f_rep_D,Hz,,200.0,,,lognormal,YES,NO,ASSUMED,ASSUMED,,,ASSUMED_UNCERTAIN,Mode D NV readout rep rate. Period = 5 ms. Separate from Mode B f_rep_A.
P0132,eta_abs_D,eta_abs_D,dimensionless,,0.05,,,,NO,NO,INDIRECT,ASSUMED,,,FIXED_DESIGN,Mode D NV readout absorption coefficient. Separate from Mode B eta_abs_A.
P0133,T_peak_D,T_peak_D,K,,0.673,,,,NO,YES,DERIVED,DERIVED,,,DERIVED,Mode D NV readout cumulative pulse heating. Sim reports 673 mK from 200 Hz operation.
P0134,tau_recovery_D,tau_recovery_D,s,,4.2e-08,,,lognormal,YES,NO,ASSUMED,ASSUMED,,,ASSUMED_UNCERTAIN,Mode D NV readout thermal recovery time.
P0135,thermal_cycling_N100_status,thermal_cycling_N100_status,cycles,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNVERIFIED,,,MEASURED_REQUIRED,Engineering qualification.
P0136,thermal_cycling_N1000_status,thermal_cycling_N1000_status,cycles,,,,,uniform,YES,NO,REQUIRES_EXPERIMENT,UNVERIFIED,,,MEASURED_REQUIRED,Extended qualification.
P0137,IL14_LCVD_helium_interlock_status,IL14_LCVD_helium_interlock_status,N/A,,,,,uniform,YES,NO,UNKNOWN,NOT_INSTALLED,,,MEASURED_REQUIRED,Hardware interlock IL-14: LCVD_on AND He_present = IMPOSSIBLE. [directness normalized from N/A: directness not applicabl
P0138,radiation_shutter_emissivity_eff,epsilon_eff,dimensionless,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,"C4, Shield-RAD",R-RAD-1,MEASURED_REQUIRED,Effective emissivity of 4K shutter; not measured
P0139,radiation_load_10mK_measured_W,P_rad_10mK,W,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-RAD,R-RAD-1,MEASURED_REQUIRED,Sample-stage radiometric heat load (W); NOT_MEASURED
P0140,rf_leakage_load_10mK_measured_W,P_RF_10mK,W,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-RF,R-RF-1,MEASURED_REQUIRED,RF leakage into 10 mK sample-stage; NOT_MEASURED
P0141,microwave_blackbody_load_W,P_mw_BB,W,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,"Shield-RF, Shield-MW",R-MW-1,MEASURED_REQUIRED,4 K microwave blackbody load into sample volume
P0142,optical_scatter_load_W,P_scatter,W,D,UNKNOWN,,,,NO,NO,UNKNOWN / REQUIRES_EXPERIMENT,UNKNOWN,Shield-OPT,R-OPT-1,MEASURED_REQUIRED,Stray optical power reaching 10 mK
