cycle,phase,panel_id,species,sticking,sticking_provenance,N_per_m2,monolayer_fraction,capacity_basis,admitted_per_m2,label
2,MODE_B,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),8.759263270e+16,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_C,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),1.499926528e+09,1.499926528e-10,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.499923544e+11,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_C,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,2.027096523e+13,2.027096523e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),3.685633778e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_C,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),8.759263270e+16,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_D,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),2.571292672e+09,2.571292672e-10,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),2.571289852e+11,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_D,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,2.027096523e+13,2.027096523e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),3.685633778e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_D,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.751852654e+17,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_B,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),2.571298816e+09,2.571298816e-10,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),2.571295209e+11,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_B,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,3.040643244e+13,3.040643244e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),5.528450667e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_B,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.751852654e+17,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_C,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),2.785572864e+09,2.785572864e-10,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),2.785568470e+11,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_C,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,3.040643244e+13,3.040643244e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),5.528450667e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_C,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.751852654e+17,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_D,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),3.856939008e+09,3.856939008e-10,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),3.856934778e+11,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_D,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,3.040643244e+13,3.040643244e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),5.528450667e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_D,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),2.627778981e+17,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
