frequency_Hz,odmr_signal
1.9225007136e+08,3.2352322818e-05
1.9325007136e+08,3.3098731474e-05
1.9425007136e+08,3.3871325762e-05
1.9525007136e+08,3.4671345093e-05
1.9625007136e+08,3.5500103088e-05
1.9725007136e+08,3.6358992965e-05
1.9825007136e+08,3.7249493407e-05
1.9925007136e+08,3.8173174924e-05
2.0025007136e+08,3.9131706787e-05
2.0125007136e+08,4.0126864574e-05
2.0225007136e+08,4.1160538394e-05
2.0325007136e+08,4.2234741876e-05
2.0425007136e+08,4.3351621978e-05
2.0525007136e+08,4.4513469724e-05
2.0625007136e+08,4.5722731961e-05
2.0725007136e+08,4.6982024255e-05
2.0825007136e+08,4.8294145043e-05
2.0925007136e+08,4.9662091194e-05
2.1025007136e+08,5.1089075136e-05
2.1125007136e+08,5.2578543734e-05
2.1225007136e+08,5.4134199120e-05
2.1325007136e+08,5.5760021722e-05
2.1425007136e+08,5.7460295751e-05
2.1525007136e+08,5.9239637447e-05
2.1625007136e+08,6.1103026450e-05
2.1725007136e+08,6.3055840672e-05
2.1825007136e+08,6.5103895141e-05
2.1925007136e+08,6.7253485343e-05
2.2025007136e+08,6.9511435649e-05
2.2125007136e+08,7.1885153548e-05
2.2225007136e+08,7.4382690474e-05
2.2325007136e+08,7.7012810159e-05
2.2425007136e+08,7.9785065619e-05
2.2525007136e+08,8.2709886009e-05
2.2625007136e+08,8.5798674846e-05
2.2725007136e+08,8.9063921322e-05
2.2825007136e+08,9.2519326733e-05
2.2925007136e+08,9.6179948435e-05
2.3025007136e+08,1.0006236414e-04
2.3125007136e+08,1.0418485989e-04
2.3225007136e+08,1.0856764581e-04
2.3325007136e+08,1.1323310415e-04
2.3425007136e+08,1.1820607565e-04
2.3525007136e+08,1.2351419081e-04
2.3625007136e+08,1.2918825445e-04
2.3725007136e+08,1.3526269359e-04
2.3825007136e+08,1.4177608084e-04
2.3925007136e+08,1.4877174809e-04
2.4025007136e+08,1.5629850898e-04
2.4125007136e+08,1.6441151257e-04
2.4225007136e+08,1.7317325624e-04
2.4325007136e+08,1.8265479262e-04
2.4425007136e+08,1.9293717432e-04
2.4525007136e+08,2.0411319152e-04
2.4625007136e+08,2.1628947219e-04
2.4725007136e+08,2.2958903415e-04
2.4825007136e+08,2.4415440364e-04
2.4925007136e+08,2.6015144863e-04
2.5025007136e+08,2.7777412048e-04
2.5125007136e+08,2.9725035859e-04
2.5225007136e+08,3.1884949560e-04
2.5325007136e+08,3.4289161547e-04
2.5425007136e+08,3.6975947571e-04
2.5525007136e+08,3.9991382947e-04
2.5625007136e+08,4.3391330183e-04
2.5725007136e+08,4.7244043589e-04
2.5825007136e+08,5.1633619774e-04
2.5925007136e+08,5.6664623162e-04
2.6025007136e+08,6.2468366985e-04
2.6125007136e+08,6.9211563063e-04
2.6225007136e+08,7.7108418861e-04
2.6325007136e+08,8.6437845798e-04
2.6425007136e+08,9.7568403646e-04
2.6525007136e+08,1.1099522513e-03
2.6625007136e+08,1.2739597458e-03
2.6725007136e+08,1.4771793276e-03
2.6825007136e+08,1.7331767640e-03
2.6925007136e+08,2.0619302388e-03
2.7025007136e+08,2.4938402127e-03
2.7125007136e+08,3.0769977615e-03
2.7225007136e+08,3.8911253262e-03
2.7325007136e+08,5.0762169326e-03
2.7425007136e+08,6.8966265829e-03
2.7525007136e+08,9.9010650160e-03
2.7625007136e+08,1.5384690360e-02
2.7725007136e+08,2.7027102061e-02
2.7825007136e+08,5.8823604504e-02
2.7925007136e+08,2.0000007515e-01
2.8025007136e+08,1.0000000752e+00
2.8125007136e+08,2.0000007527e-01
2.8225007136e+08,5.8823604738e-02
2.8325007136e+08,2.7027102412e-02
2.8425007136e+08,1.5384690829e-02
2.8525007136e+08,9.9010656020e-03
2.8625007136e+08,6.8966272861e-03
2.8725007136e+08,5.0762177529e-03
2.8825007136e+08,3.8911262637e-03
2.8925007136e+08,3.0769988162e-03
2.9025007136e+08,2.4938413845e-03
2.9125007136e+08,2.0619315279e-03
2.9225007136e+08,1.7331781703e-03
2.9325007136e+08,1.4771808511e-03
2.9425007136e+08,1.2739613865e-03
2.9525007136e+08,1.1099540092e-03
2.9625007136e+08,9.7568591157e-04
2.9725007136e+08,8.6438045031e-04
2.9825007136e+08,7.7108629816e-04
2.9925007136e+08,6.9211785740e-04
3.0025007136e+08,6.2468601385e-04
3.0125007136e+08,5.6664869285e-04
3.0225007136e+08,5.1633877621e-04
3.0325007136e+08,4.7244313159e-04
3.0425007136e+08,4.3391611478e-04
3.0525007136e+08,3.9991675966e-04
3.0625007136e+08,3.6976252317e-04
3.0725007136e+08,3.4289478018e-04
3.0825007136e+08,3.1885277759e-04
3.0925007136e+08,2.9725375785e-04
3.1025007136e+08,2.7777763702e-04
3.1125007136e+08,2.6015508245e-04
3.1225007136e+08,2.4415815476e-04
3.1325007136e+08,2.2959290256e-04
3.1425007136e+08,2.1629345791e-04
3.1525007136e+08,2.0411729456e-04
3.1625007136e+08,1.9294139468e-04
3.1725007136e+08,1.8265913030e-04
3.1825007136e+08,1.7317771127e-04
3.1925007136e+08,1.6441608494e-04
3.2025007136e+08,1.5630319870e-04
3.2125007136e+08,1.4877655517e-04
3.2225007136e+08,1.4178100529e-04
3.2325007136e+08,1.3526773543e-04
3.2425007136e+08,1.2919341367e-04
3.2525007136e+08,1.2351946743e-04
3.2625007136e+08,1.1821146968e-04
3.2725007136e+08,1.1323861559e-04
3.2825007136e+08,1.0857327468e-04
3.2925007136e+08,1.0419060621e-04
3.3025007136e+08,1.0006822790e-04
3.3125007136e+08,9.6185929660e-05
3.3225007136e+08,9.2525425429e-05
3.3325007136e+08,8.9070137500e-05
3.3425007136e+08,8.5805008518e-05
3.3525007136e+08,8.2716337186e-05
3.3625007136e+08,7.9791634314e-05
3.3725007136e+08,7.7019496384e-05
3.3825007136e+08,7.4389494240e-05
3.3925007136e+08,7.1892074869e-05
3.4025007136e+08,6.9518474536e-05
3.4125007136e+08,6.7260641810e-05
3.4225007136e+08,6.5111169202e-05
3.4325007136e+08,6.3063232339e-05
3.4425007136e+08,6.1110535738e-05
3.4525007136e+08,5.9247264369e-05
3.4625007136e+08,5.7468040320e-05
3.4725007136e+08,5.5767883954e-05
3.4825007136e+08,5.4142179028e-05
3.4925007136e+08,5.2586641333e-05
3.5025007136e+08,5.1097290442e-05
3.5125007136e+08,4.9670424221e-05
3.5225007136e+08,4.8302595807e-05
3.5325007136e+08,4.6990592771e-05
3.5425007136e+08,4.5731418245e-05
3.5525007136e+08,4.4522273792e-05
3.5625007136e+08,4.3360543847e-05
3.5725007136e+08,4.2243781561e-05
3.5825007136e+08,4.1169695913e-05
3.5925007136e+08,4.0136139943e-05
3.6025007136e+08,3.9141100024e-05
3.6125007136e+08,3.8182686045e-05
3.6225007136e+08,3.7259122430e-05
3.6325007136e+08,3.6368739908e-05
3.6425007136e+08,3.5509967968e-05
3.6525007136e+08,3.4681327930e-05
3.6625007136e+08,3.3881426573e-05
3.6725007136e+08,3.3108950278e-05
3.6825007136e+08,3.2362659634e-05
3.6925007136e+08,3.1641384460e-05
3.7025007136e+08,3.0944019220e-05
3.7125007136e+08,3.0269518779e-05
3.7225007136e+08,2.9616894492e-05
3.7325007136e+08,2.8985210575e-05
3.7425007136e+08,2.8373580751e-05
3.7525007136e+08,2.7781165140e-05
3.7625007136e+08,2.7207167375e-05
3.7725007136e+08,2.6650831922e-05
3.7825007136e+08,2.6111441597e-05
3.7925007136e+08,2.5588315250e-05
3.8025007136e+08,2.5080805616e-05
3.8125007136e+08,2.4588297313e-05
3.8225007136e+08,2.4110204973e-05
3.8325007136e+08,2.3645971505e-05
3.8425007136e+08,2.3195066471e-05
3.8525007136e+08,2.2756984569e-05
3.8625007136e+08,2.2331244218e-05
3.8725007136e+08,2.1917386234e-05
3.8825007136e+08,2.1514972593e-05
3.8925007136e+08,2.1123585269e-05
3.9025007136e+08,2.0742825151e-05
3.9125007136e+08,2.0372311021e-05
3.9225007136e+08,2.0011678607e-05
3.9325007136e+08,1.9660579679e-05
3.9425007136e+08,1.9318681215e-05
3.9525007136e+08,1.8985664607e-05
3.9625007136e+08,1.8661224920e-05
3.9725007136e+08,1.8345070196e-05
3.9825007136e+08,1.8036920793e-05
3.9925007136e+08,1.7736508768e-05
4.0025007136e+08,1.7443577299e-05
4.0125007136e+08,1.7157880127e-05
4.0225007136e+08,1.6879181048e-05
4.0325007136e+08,1.6607253418e-05
4.0425007136e+08,1.6341879695e-05
4.0525007136e+08,1.6082851004e-05
4.0625007136e+08,1.5829966724e-05
4.0725007136e+08,1.5583034102e-05
4.0825007136e+08,1.5341867886e-05
4.0925007136e+08,1.5106289974e-05
4.1025007136e+08,1.4876129089e-05
4.1125007136e+08,1.4651220463e-05
4.1225007136e+08,1.4431405550e-05
4.1325007136e+08,1.4216531738e-05
4.1425007136e+08,1.4006452090e-05
4.1525007136e+08,1.3801025090e-05
4.1625007136e+08,1.3600114405e-05
4.1725007136e+08,1.3403588660e-05
4.1825007136e+08,1.3211321223e-05
4.1925007136e+08,1.3023189998e-05
4.2025007136e+08,1.2839077238e-05
4.2125007136e+08,1.2658869353e-05
4.2225007136e+08,1.2482456739e-05
4.2325007136e+08,1.2309733613e-05
4.2425007136e+08,1.2140597849e-05
4.2525007136e+08,1.1974950832e-05
4.2625007136e+08,1.1812697314e-05
4.2725007136e+08,1.1653745272e-05
4.2825007136e+08,1.1498005784e-05
4.2925007136e+08,1.1345392901e-05
4.3025007136e+08,1.1195823530e-05
4.3125007136e+08,1.1049217319e-05
4.3225007136e+08,1.0905496551e-05
4.3325007136e+08,1.0764586041e-05
4.3425007136e+08,1.0626413036e-05
4.3525007136e+08,1.0490907122e-05
4.3625007136e+08,1.0358000137e-05
4.3725007136e+08,1.0227626081e-05
4.3825007136e+08,1.0099721034e-05
4.3925007136e+08,9.9742230839e-06
4.4025007136e+08,9.8510722439e-06
4.4125007136e+08,9.7302103856e-06
4.4225007136e+08,9.6115811692e-06
4.4325007136e+08,9.4951299775e-06
4.4425007136e+08,9.3808038533e-06
4.4525007136e+08,9.2685514393e-06
4.4625007136e+08,9.1583229206e-06
4.4725007136e+08,9.0500699691e-06
4.4825007136e+08,8.9437456906e-06
4.4925007136e+08,8.8393045745e-06
4.5025007136e+08,8.7367024444e-06
4.5125007136e+08,8.6358964121e-06
4.5225007136e+08,8.5368448324e-06
4.5325007136e+08,8.4395072601e-06
4.5425007136e+08,8.3438444090e-06
4.5525007136e+08,8.2498181122e-06
4.5625007136e+08,8.1573912836e-06
4.5725007136e+08,8.0665278823e-06
4.5825007136e+08,7.9771928765e-06
4.5925007136e+08,7.8893522104e-06
4.6025007136e+08,7.8029727714e-06
4.6125007136e+08,7.7180223592e-06
4.6225007136e+08,7.6344696557e-06
4.6325007136e+08,7.5522841959e-06
4.6425007136e+08,7.4714363407e-06
4.6525007136e+08,7.3918972497e-06
4.6625007136e+08,7.3136388556e-06
4.6725007136e+08,7.2366338398e-06
4.6825007136e+08,7.1608556081e-06
4.6925007136e+08,7.0862782680e-06
4.7025007136e+08,7.0128766068e-06
4.7125007136e+08,6.9406260697e-06
4.7225007136e+08,6.8695027401e-06
4.7325007136e+08,6.7994833190e-06
4.7425007136e+08,6.7305451066e-06
4.7525007136e+08,6.6626659836e-06
4.7625007136e+08,6.5958243933e-06
4.7725007136e+08,6.5299993251e-06
4.7825007136e+08,6.4651702973e-06
4.7925007136e+08,6.4013173417e-06
4.8025007136e+08,6.3384209879e-06
